"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2010,8,7.609375,16,8.175,6.66666666666667,6.625,7.5,7.675,10,6,4,6,10,16,10,6,4,6,10,7.609375,8.175,6.66666666666667,6.625,7.5,7.675,0
"2",2010,9,7.34,20,7.6,6.85714285714286,7,7.47777777777778,7.22727272727273,13,7,5,9,11,36,23,13,9,15,21,7.45972222222222,7.85,6.76923076923077,6.83333333333333,7.48666666666667,7.44047619047619,1
"3",2010,10,6.86129032258065,31,7.39411764705882,6.21428571428571,6.15384615384615,6.825,6.88421052631579,17,14,13,12,19,67,40,27,22,27,40,7.18283582089552,7.65625,6.48148148148148,6.43181818181818,7.19259259259259,7.17625,2
"4",2010,11,7.12678571428571,28,7.54411764705882,6.48181818181818,6.76,6.77083333333333,7.39375,17,11,5,12,16,95,57,38,27,39,56,7.16631578947368,7.62280701754386,6.48157894736842,6.49259259259259,7.06282051282051,7.23839285714286,3
"5",2010,12,7.13157894736842,38,7.41304347826087,6.7,6.4375,6.89285714285714,7.27083333333333,23,15,8,14,24,133,80,53,35,53,80,7.15639097744361,7.5625,6.5433962264151,6.48,7.01792452830189,7.248125,4
"6",2011,1,7.22820512820513,39,7.425,6.72727272727273,6.8125,7.14285714285714,7.276,28,11,8,14,25,172,108,64,43,67,105,7.17267441860465,7.52685185185185,6.575,6.54186046511628,7.04402985074627,7.2547619047619,5
"7",2011,2,7.192,25,7.425,6.77777777777778,7.5,7,7.28235294117647,16,9,4,8,17,197,124,73,47,75,122,7.1751269035533,7.51370967741935,6.6,6.62340425531915,7.03933333333333,7.25860655737705,6
"8",2011,3,6.59090909090909,33,6.65909090909091,6.45454545454545,6.5,5.64285714285714,6.84615384615385,22,11,10,7,26,230,146,84,57,82,148,7.09130434782609,7.38493150684931,6.58095238095238,6.60175438596491,6.92012195121951,7.18614864864865,7
"9",2011,4,7.09655172413793,29,7.5,5.82857142857143,6.2,6.92857142857143,7.15,22,7,4,7,22,259,168,91,61,89,170,7.09189189189189,7.4,6.52307692307692,6.57540983606557,6.92078651685393,7.18147058823529,8
"10",2011,5,6.99221875,32,6.94004,7.17857142857143,7.85,7.20454545454545,6.881,25,7,5,11,21,291,193,98,66,100,191,7.08093127147766,7.34041968911917,6.56989795918367,6.6719696969697,6.952,7.14843455497382,9
