"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2018,6,10,1,NA,10,NA,NA,10,0,1,0,0,1,1,0,1,0,0,1,10,NA,10,NA,NA,10,-28
"2",2018,7,9,1,9,NA,NA,NA,9,1,0,0,0,1,2,1,1,0,0,2,9.5,9,10,NA,NA,9.5,-27
"3",2018,8,7.25,2,NA,7.25,NA,NA,7.25,0,2,0,0,2,4,1,3,0,0,4,8.375,9,8.16666666666667,NA,NA,8.375,-26
"4",2018,9,10,1,NA,10,NA,NA,10,0,1,0,0,1,5,1,4,0,0,5,8.7,9,8.625,NA,NA,8.7,-25
"5",2018,10,8.91304347826087,23,9.375,8.66666666666667,NA,9,8.88888888888889,8,15,0,5,18,28,9,19,0,5,23,8.875,9.33333333333333,8.6578947368421,NA,9,8.84782608695652,-24
"6",2018,11,8.83333333333333,15,9.2,8.65,NA,NA,8.83333333333333,5,10,0,0,15,43,14,29,0,5,38,8.86046511627907,9.28571428571429,8.6551724137931,NA,9,8.8421052631579,-23
"7",2018,12,8.33333333333333,3,7,9,NA,NA,8.33333333333333,1,2,0,0,3,46,15,31,0,5,41,8.82608695652174,9.13333333333333,8.67741935483871,NA,9,8.80487804878049,-22
"8",2019,1,9.66666666666667,3,10,9.5,NA,NA,9.66666666666667,1,2,0,0,3,49,16,33,0,5,44,8.87755102040816,9.1875,8.72727272727273,NA,9,8.86363636363637,-21
"9",2019,4,10,1,10,NA,NA,10,NA,1,0,0,1,0,50,17,33,0,6,44,8.9,9.23529411764706,8.72727272727273,NA,9.16666666666667,8.86363636363637,-18
"10",2019,5,7,1,NA,7,7,NA,7,0,1,1,0,1,51,17,34,1,6,45,8.86274509803922,9.23529411764706,8.67647058823529,7,9.16666666666667,8.82222222222222,-17
