"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2013,8,5,1,NA,5,5,NA,5,0,1,1,0,1,1,0,1,1,0,1,5,NA,5,5,NA,5,-6
"2",2013,9,8.125,4,8.125,NA,NA,8.5,7,4,0,0,3,1,5,4,1,1,3,2,7.5,8.125,5,5,8.5,6,-5
"3",2013,10,8,1,8,NA,NA,NA,8,1,0,0,0,1,6,5,1,1,3,3,7.58333333333333,8.1,5,5,8.5,6.66666666666667,-4
"4",2013,12,7,2,8,6,NA,7,NA,1,1,0,2,0,8,6,2,1,5,3,7.4375,8.08333333333333,5.5,5,7.9,6.66666666666667,-2
"5",2014,2,8.08125,16,8.05714285714286,8.25,8.25,8.5,7.89090909090909,14,2,2,5,11,24,20,4,3,10,14,7.86666666666667,8.065,6.875,7.16666666666667,8.2,7.62857142857143,0
"6",2014,3,7.68548387096774,31,7.875,6.7,8,7.43181818181818,7.825,26,5,1,11,20,55,46,9,4,21,34,7.76454545454545,7.95760869565217,6.77777777777778,7.375,7.79761904761905,7.74411764705882,1
"7",2014,4,7.39912280701754,57,7.81617647058824,6.78260869565217,7,7.671875,7.29268292682927,34,23,9,16,41,112,80,32,13,37,75,7.57857142857143,7.8975,6.78125,7.11538461538461,7.74324324324324,7.49733333333333,2
"8",2014,5,7.23913043478261,46,7.59615384615385,6.775,7.625,6.90909090909091,7.34285714285714,26,20,4,11,35,158,106,52,17,48,110,7.47974683544304,7.82358490566038,6.77884615384615,7.23529411764706,7.55208333333333,7.44818181818182,3
"9",2014,6,7.26388888888889,36,7.90909090909091,6.25,7,7.73076923076923,7,22,14,4,13,23,194,128,66,21,61,133,7.43969072164948,7.83828125,6.66666666666667,7.19047619047619,7.59016393442623,7.37067669172932,4
"10",2014,7,7.1047619047619,21,7.33571428571429,6.64285714285714,7,NA,7.1047619047619,14,7,2,0,21,215,142,73,23,61,154,7.40697674418605,7.7887323943662,6.66438356164384,7.17391304347826,7.59016393442623,7.33441558441558,5
"11",2014,8,6.77647058823529,17,7.47,5.78571428571429,6.66666666666667,7.56666666666667,6.60714285714286,10,7,3,3,14,232,152,80,26,64,168,7.36077586206897,7.76776315789474,6.5875,7.11538461538461,7.5890625,7.27380952380952,6
"12",2014,9,7.47619047619048,21,7.77272727272727,7.15,7.41666666666667,7.2,7.72727272727273,11,10,6,10,11,253,163,90,32,74,179,7.3703557312253,7.7680981595092,6.65,7.171875,7.53648648648649,7.30167597765363,7
"13",2014,10,7.37272727272727,22,7.625,7.07,6.5,7.625,7.31666666666667,12,10,2,4,18,275,175,100,34,78,197,7.37054545454545,7.75828571428571,6.692,7.13235294117647,7.54102564102564,7.30304568527919,8
"14",2014,11,7.306,25,7.69444444444444,7.0875,7,7.25,7.32368421052632,9,16,4,6,19,300,184,116,38,84,216,7.36516666666667,7.75516304347826,6.74655172413793,7.11842105263158,7.5202380952381,7.30486111111111,9
"15",2014,12,7.60182926829268,82,7.90267857142857,6.95384615384615,7.12857142857143,7.25555555555556,7.69921875,56,26,14,18,64,382,240,142,52,102,280,7.41596858638743,7.78958333333333,6.78450704225352,7.12115384615385,7.47352941176471,7.395,10
"16",2015,1,7.70967532467532,154,7.99699029126214,7.12941176470588,7.372,7.59857142857143,7.74235294117647,103,51,25,35,119,536,343,193,77,137,399,7.50035447761194,7.85186588921283,6.87564766839378,7.2025974025974,7.50547445255474,7.49859649122807,11
"17",2015,2,7.46086956521739,69,7.71395348837209,7.04230769230769,6.95454545454545,6.91666666666667,7.51269841269841,43,26,11,6,63,605,386,219,88,143,462,7.49585123966942,7.83650259067358,6.89543378995434,7.17159090909091,7.48076923076923,7.50051948051948,12
"18",2015,3,7.29859154929577,71,7.77926829268293,6.64166666666667,7.5,6.76176470588235,7.46759259259259,41,30,13,17,54,676,427,249,101,160,516,7.47513313609467,7.83100702576112,6.864859437751,7.21386138613861,7.404375,7.49707364341085,13
"19",2015,4,7.42142857142857,42,7.52413793103448,7.19230769230769,7.75,7.71428571428571,7.36285714285714,29,13,4,7,35,718,456,262,105,167,551,7.47199164345404,7.81149122807017,6.88110687022901,7.23428571428571,7.41736526946108,7.48854809437387,14
"20",2015,5,7.39587912087912,91,7.94635416666667,6.78139534883721,6.91739130434783,7.005,7.50598591549296,48,43,23,20,71,809,504,305,128,187,622,7.46343016069221,7.82433531746032,6.86704918032787,7.17734375,7.37326203208556,7.490538585209,15
