"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2001,5,9,1,9,NA,NA,9,NA,1,0,0,1,0,1,1,0,0,1,0,9,9,NA,NA,9,NA,0
"2",2001,6,7.92857142857143,7,8.25,6,NA,NA,7.92857142857143,6,1,0,0,7,8,7,1,0,1,7,8.0625,8.35714285714286,6,NA,9,7.92857142857143,1
"3",2001,7,6,5,6,NA,NA,7,5.75,5,0,0,1,4,13,12,1,0,2,11,7.26923076923077,7.375,6,NA,8,7.13636363636364,2
"4",2001,8,8,11,8.1,7,NA,8,8,10,1,0,3,8,24,22,2,0,5,19,7.60416666666667,7.70454545454545,6.5,NA,8,7.5,3
"5",2001,9,6.25,4,6.25,NA,NA,8,5.66666666666667,4,0,0,1,3,28,26,2,0,6,22,7.41071428571429,7.48076923076923,6.5,NA,8,7.25,4
"6",2001,10,7.25,4,7.33333333333333,7,NA,NA,7.25,3,1,0,0,4,32,29,3,0,6,26,7.390625,7.46551724137931,6.66666666666667,NA,8,7.25,5
"7",2001,11,7.85714285714286,7,7.83333333333333,8,NA,8.5,7.6,6,1,0,2,5,39,35,4,0,8,31,7.47435897435897,7.52857142857143,7,NA,8.125,7.30645161290323,6
"8",2001,12,8,2,8,NA,NA,NA,8,2,0,0,0,2,41,37,4,0,8,33,7.5,7.55405405405405,7,NA,8.125,7.34848484848485,7
"9",2002,1,8.33333333333333,3,9,7,7,NA,8.33333333333333,2,1,1,0,3,44,39,5,1,8,36,7.55681818181818,7.62820512820513,7,7,8.125,7.43055555555556,8
"10",2002,2,6.5,2,6.5,NA,NA,6.5,NA,2,0,0,2,0,46,41,5,1,10,36,7.51086956521739,7.57317073170732,7,7,7.8,7.43055555555556,9
"11",2002,3,7.33333333333333,6,7.33333333333333,NA,6,8,7.2,6,0,1,1,5,52,47,5,2,11,41,7.49038461538461,7.54255319148936,7,6.5,7.81818181818182,7.40243902439024,10
"12",2002,4,7.83333333333333,6,7.83333333333333,NA,NA,8,7.75,6,0,0,2,4,58,53,5,2,13,45,7.52586206896552,7.57547169811321,7,6.5,7.84615384615385,7.43333333333333,11
