"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2009,9,8,2,8,NA,NA,NA,8,2,0,0,0,2,2,2,0,0,0,2,8,8,NA,NA,NA,8,-1
"2",2009,10,7.60833333333333,12,7.92857142857143,7.16,NA,8.075,7.375,7,5,0,4,8,14,9,5,0,4,10,7.66428571428571,7.94444444444444,7.16,NA,8.075,7.5,0
"3",2009,11,7.6047619047619,21,8.41,6.87272727272727,7,7.5,7.6375,10,11,1,5,16,35,19,16,1,9,26,7.62857142857143,8.18947368421053,6.9625,7,7.75555555555556,7.58461538461538,1
"4",2009,12,7.34848484848485,33,7.91176470588235,6.75,7,7.2,7.375,17,16,4,5,28,68,36,32,5,14,54,7.49264705882353,8.05833333333333,6.85625,7,7.55714285714286,7.47592592592593,2
"5",2010,1,6.74461538461538,65,7.48125,6.03030303030303,7.375,6.15217391304348,7.06904761904762,32,33,4,23,42,133,68,65,9,37,96,7.12706766917293,7.78676470588235,6.43692307692308,7.16666666666667,6.68378378378378,7.29791666666667,3
"6",2010,2,7.40588235294118,51,7.98035714285714,6.70652173913043,5.66666666666667,7.31666666666667,7.44305555555556,28,23,3,15,36,184,96,88,12,52,132,7.20434782608696,7.84322916666667,6.50738636363636,6.79166666666667,6.86634615384615,7.3375,4
"7",2010,3,7.13703703703704,54,7.76190476190476,6.73939393939394,7.33333333333333,6.32,7.32272727272727,21,33,3,10,44,238,117,121,15,62,176,7.1890756302521,7.82863247863248,6.57066115702479,6.9,6.77822580645161,7.33380681818182,5
"8",2010,4,7.77234042553192,47,7.96551724137931,7.46111111111111,8,8.125,7.7,29,18,5,8,39,285,146,139,20,70,215,7.28526315789474,7.85582191780822,6.68597122302158,7.175,6.93214285714286,7.40023255813953,6
"9",2010,5,7.62407407407407,54,8.00384615384615,7.27142857142857,7,7.48,7.65681818181818,26,28,7,10,44,339,172,167,27,80,259,7.33923303834808,7.87819767441861,6.78413173652694,7.12962962962963,7.000625,7.44382239382239,7
"10",2010,6,7.12380952380952,63,7.74565217391304,6.76625,6.8,6.5625,7.20545454545455,23,40,9,8,55,402,195,207,36,88,314,7.30547263681592,7.8625641025641,6.78067632850242,7.04722222222222,6.96079545454545,7.40207006369427,8
"11",2010,7,7.4,50,7.94,6.86,6.66666666666667,7.03571428571429,7.54166666666667,25,25,3,14,36,452,220,232,39,102,350,7.31592920353982,7.87136363636364,6.78922413793103,7.01794871794872,6.97107843137255,7.41642857142857,9
"12",2010,8,7.22118644067797,59,7.90576923076923,6.68181818181818,7.75,7.29166666666667,7.2031914893617,26,33,6,12,47,511,246,265,45,114,397,7.30499021526419,7.875,6.77584905660377,7.11555555555555,7.00482456140351,7.3911838790932,10
"13",2010,9,7.02890625,64,7.582,6.67435897435897,7.15,7.10555555555556,6.99891304347826,25,39,6,18,46,575,271,304,51,132,443,7.27426086956522,7.8479704797048,6.76282894736842,7.11960784313726,7.01856060606061,7.35045146726862,11
"14",2010,10,7.29622641509434,53,7.78846153846154,6.82222222222222,8.23333333333333,6.75,7.39333333333333,26,27,3,8,45,628,297,331,54,140,488,7.27611464968153,7.84276094276094,6.76767371601208,7.18148148148148,7.00321428571428,7.35440573770492,12
"15",2010,11,7.13467741935484,62,7.81666666666667,6.78536585365854,7.7,6.61538461538461,7.27244897959184,21,41,5,13,49,690,318,372,59,153,537,7.26340579710145,7.84103773584906,6.76962365591398,7.22542372881356,6.9702614379085,7.34692737430168,13
"16",2010,12,7.45762711864407,59,7.646875,7.23333333333333,6.5,7.42857142857143,7.46153846153846,32,27,3,7,52,749,350,399,62,160,589,7.27870493991989,7.82328571428571,6.80100250626566,7.19032258064516,6.9903125,7.35704584040747,14
"17",2011,1,7.2491935483871,62,7.98703703703704,6.68,7.075,7.1875,7.264,27,35,4,12,50,811,377,434,66,172,639,7.27644882860666,7.83501326259947,6.79124423963134,7.18333333333333,7.00406976744186,7.34976525821596,15
"18",2011,2,7.19148936170213,47,7.9695652173913,6.44583333333333,6.375,6.95454545454545,7.26388888888889,23,24,4,11,36,858,400,458,70,183,675,7.27179487179487,7.84275,6.77314410480349,7.13714285714286,7.00109289617486,7.34518518518518,16
"19",2011,3,7.42538461538462,39,8.05833333333333,6.88285714285714,7.13222222222222,6.518,7.55882352941176,18,21,9,5,34,897,418,479,79,188,709,7.27847268673356,7.85203349282297,6.77795407098121,7.13658227848101,6.98824468085106,7.35543018335684,17
"20",2011,4,7.45625,48,8.25555555555556,6.97666666666667,7.625,6.7,7.54418604651163,18,30,4,5,43,945,436,509,83,193,752,7.28750264550265,7.86869266055046,6.78966601178782,7.16012048192771,6.98077720207254,7.36622340425532,18
"21",2011,5,7.1125,48,7.94090909090909,6.41153846153846,7,6.23333333333333,7.23809523809524,22,26,3,6,42,993,458,535,86,199,794,7.27904330312185,7.8721615720524,6.77128971962617,7.15453488372093,6.95824120603015,7.35944584382871,19
"22",2011,6,7.38484848484848,33,7.78571428571429,7.08947368421053,7.5,7.58333333333333,7.34074074074074,14,19,2,6,27,1026,472,554,88,205,821,7.28244639376218,7.86959745762712,6.78220216606498,7.16238636363636,6.97653658536585,7.35883069427527,20
