"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2019,8,7.42857142857143,7,10,7,NA,10,5.5,1,6,0,3,4,7,1,6,0,3,4,7.42857142857143,10,7,NA,10,5.5,-15
"2",2019,9,9.33333333333333,3,NA,9.33333333333333,NA,NA,9.33333333333333,0,3,0,0,3,10,1,9,0,3,7,8,10,7.77777777777778,NA,10,7.14285714285714,-14
"3",2019,12,7,1,NA,7,NA,NA,7,0,1,0,0,1,11,1,10,0,3,8,7.90909090909091,10,7.7,NA,10,7.125,-11
"4",2020,1,8,3,10,7,NA,NA,8,1,2,0,0,3,14,2,12,0,3,11,7.92857142857143,10,7.58333333333333,NA,10,7.36363636363636,-10
"5",2020,2,8.97222222222222,36,9.47058823529412,8.52631578947368,9.66666666666667,7.66666666666667,9.09090909090909,17,19,3,3,33,50,19,31,3,6,44,8.68,9.52631578947368,8.16129032258065,9.66666666666667,8.83333333333333,8.65909090909091,-9
"6",2020,3,8.3125,8,9.3,6.66666666666667,NA,1,9.35714285714286,5,3,0,1,7,58,24,34,3,7,51,8.62931034482759,9.47916666666667,8.02941176470588,9.66666666666667,7.71428571428571,8.75490196078431,-8
"7",2020,4,8.14,10,8.91428571428571,6.33333333333333,NA,9,8.04444444444444,7,3,0,1,9,68,31,37,3,8,60,8.55735294117647,9.35161290322581,7.89189189189189,9.66666666666667,7.875,8.64833333333333,-7
"8",2020,5,8.08333333333333,6,9.375,5.5,NA,5,8.7,4,2,0,1,5,74,35,39,3,9,65,8.51891891891892,9.35428571428571,7.76923076923077,9.66666666666667,7.55555555555556,8.65230769230769,-6
"9",2020,6,8.625,4,8.5,8.66666666666667,NA,7,9.16666666666667,1,3,0,1,3,78,36,42,3,10,68,8.52435897435897,9.33055555555556,7.83333333333333,9.66666666666667,7.5,8.675,-5
"10",2020,7,9.3,5,9.75,7.5,NA,NA,9.3,4,1,0,0,5,83,40,43,3,10,73,8.5710843373494,9.3725,7.82558139534884,9.66666666666667,7.5,8.71780821917808,-4
"11",2020,8,9.1,3,9.1,NA,NA,9,9.15,3,0,0,1,2,86,43,43,3,11,75,8.58953488372093,9.35348837209302,7.82558139534884,9.66666666666667,7.63636363636364,8.72933333333333,-3
"12",2020,9,9.66666666666667,3,10,9,NA,NA,9.66666666666667,2,1,0,0,3,89,45,44,3,11,78,8.62584269662921,9.38222222222222,7.85227272727273,9.66666666666667,7.63636363636364,8.76538461538462,-2
"13",2020,10,9.85714285714286,7,9.83333333333333,10,NA,NA,9.85714285714286,6,1,0,0,7,96,51,45,3,11,85,8.715625,9.43529411764706,7.9,9.66666666666667,7.63636363636364,8.85529411764706,-1
"14",2020,11,9.29166666666667,12,9.16666666666667,9.66666666666667,NA,NA,9.29166666666667,9,3,0,0,12,108,60,48,3,11,97,8.77962962962963,9.395,8.01041666666667,9.66666666666667,7.63636363636364,8.90927835051546,0
"15",2020,12,8.84920634920635,63,9.02173913043478,8.38235294117647,8.5,8.61818181818182,8.89807692307692,46,17,3,11,52,171,106,65,6,22,149,8.80526315789474,9.23301886792453,8.10769230769231,9.08333333333333,8.12727272727273,8.90536912751678,1
"16",2021,1,8.94739725239617,313,9.06950253787879,8.28952387755102,8,8.98666666666667,8.94323441696113,264,49,9,30,283,484,370,114,15,52,432,8.89718045454545,9.11634775675676,8.18584798245614,8.43333333333333,8.62307692307692,8.93017439814815,2
